catches,aggregate,catches_wk,stumping_wk,agg_wk,age
1,1, , , ,22 years 215 days
 ,1, , , ,22 years 217 days
 ,1, , , ,22 years 221 days
 ,1, , , ,23 years 354 days
 ,1, , , ,23 years 357 days
 ,1, , , ,23 years 360 days
1,2, , , ,24 years 35 days
 ,2, , , ,24 years 38 days
 ,2, , , ,24 years 41 days
 ,2, , , ,24 years 110 days
 ,2, , , ,24 years 112 days
 ,2, , , ,24 years 117 days
 ,2, , , ,24 years 119 days
1,3, , , ,24 years 124 days
 ,3, , , ,24 years 126 days
 ,3, , , ,24 years 270 days
 ,3, , , ,24 years 273 days
 ,3, , , ,25 years 224 days
 ,3, , , ,25 years 229 days
 ,3, , , ,25 years 233 days
 ,3, , , ,25 years 238 days
 ,3, , , ,25 years 241 days
 ,3, , , ,25 years 248 days
1,4, , , ,25 years 250 days
 ,4, , , ,25 years 253 days
 ,4, , , ,25 years 257 days
 ,4, , , ,26 years 44 days
1,5, , , ,26 years 47 days
 ,5, , , ,26 years 233 days
 ,5, , , ,26 years 235 days
 ,5, , , ,26 years 237 days
1,6, , , ,26 years 315 days
 ,6, , , ,26 years 351 days
 ,6, , , ,26 years 357 days
 ,6, , , ,27 years 8 days
 ,6, , , ,27 years 12 days
1,7, , , ,27 years 15 days
 ,7, , , ,27 years 19 days
 ,7, , , ,27 years 85 days
 ,7, , , ,27 years 87 days
2,9, , , ,27 years 113 days
 ,9, , , ,27 years 120 days
 ,9, , , ,27 years 126 days
2,11, , , ,27 years 132 days
3,14, , , ,27 years 136 days
1,15, , , ,27 years 140 days
 ,15, , , ,27 years 145 days
 ,15, , , ,27 years 152 days
 ,15, , , ,27 years 236 days
 ,15, , , ,27 years 242 days
 ,15, , , ,27 years 351 days
 ,15, , , ,27 years 354 days
 ,15, , , ,28 years 79 days
 ,15, , , ,28 years 82 days
 ,15, , , ,28 years 84 days
 ,15, , , ,28 years 87 days
 ,15, , , ,28 years 90 days
2,17, , , ,28 years 357 days
 ,17, , , ,28 years 361 days
 ,17, , , ,28 years 364 days
 ,17, , , ,29 years 1 days
 ,17, , , ,29 years 4 days
1,18, , , ,29 years 82 days
 ,18, , , ,29 years 222 days
 ,18, , , ,29 years 226 days
 ,18, , , ,29 years 241 days
 ,18, , , ,29 years 243 days
1,19, , , ,29 years 248 days
1,20, , , ,29 years 250 days
 ,20, , , ,29 years 254 days
 ,20, , , ,29 years 338 days
1,21, , , ,30 years 260 days
1,22, , , ,30 years 262 days
 ,22, , , ,30 years 361 days
 ,22, , , ,30 years 364 days
